ジャンル名,売上指数（千円）,シェア,商品ランク入り数
さくらんぼ,201415,16.78%,8047
メロン,168003,14.00%,9851
桃,140880,11.74%,8335
マンゴー,130281,10.85%,5239
ブドウ,85908,7.16%,4636
みかん,81413,6.78%,7809
梅,75201,6.26%,6387
セット・詰め合わせ,60692,5.06%,4389
スイカ,58989,4.91%,5027
りんご,32894,2.74%,2751
レモン,20830,1.74%,2678
その他,16312,1.36%,2941
ライチ,15489,1.29%,897
和梨,14066,1.17%,1089
ブルーベリー,12108,1.01%,1358
パイナップル,10672,0.89%,1546
いちご,8501,0.71%,1468
びわ,7640,0.64%,664
プラム,7184,0.60%,957
あんず,6886,0.57%,732
柿,6724,0.56%,685
オレンジ,6508,0.54%,926
キウイフルーツ,3946,0.33%,704
バナナ,3389,0.28%,744
パッションフルーツ,3078,0.26%,372
グレープフルーツ,2800,0.23%,431
ドリアン,2759,0.23%,198
イチジク,2310,0.19%,381
ザクロ,2268,0.19%,210
すだち,2121,0.18%,360
栗,1900,0.16%,454
マンゴスチン,1562,0.13%,178
ドラゴンフルーツ,1305,0.11%,214
アボカド,1046,0.09%,286
パパイヤ,1005,0.08%,220
洋梨,711,0.06%,169
じゃばら,532,0.04%,150
ゆず,531,0.04%,142
かぼす,418,0.03%,157
ミラクルフルーツ,67,0.01%,90
ドライフルーツ(1409削除),0,0.00%,169
ピューレ(1409削除),0,0.00%,658
